
Consulta do plano de contas 1 - DOURALEX - 9014 PARTICIPANTE

Código;Classificação;Nome;Apelido;Consolidada;Relatório;Concilia Aut.;Ct. Obrigatória;Fórmula
4693;01.2.3.05.008;     (-) Vasilhames - Depreciação ;DEPRECVASIL; ;Balanço patrimonial;NÃO;NÃO;
5053;01.2.3.05.009;     (-) Caminhões e Carretas - Depreciação ;DEPRECA; ;Balanço patrimonial;NÃO;NÃO;
5118;01.2.3.05.010;     (-) Depreciação Acumulada ;DEPREACUM; ;Balanço patrimonial;NÃO;NÃO;
5606;01.2.3.05.011;     (-) Gravadores - Depreciação ;DEPREGRAVA; ;Balanço patrimonial;NÃO;NÃO;
6165;01.2.3.05.012;     (-) Motocicletas - Depreciação ;DEPREMOTO; ;Balanço patrimonial;NÃO;NÃO;
6815;01.2.3.05.013;     (-) Construções em Andamento ;DEPRECONSTAND; ;Balanço patrimonial;NÃO;NÃO;
3930;01.2.4;  ATIVO INTANGÍVEL;; ;Balanço patrimonial;NÃO;NÃO;
3948;01.2.4.01;   BENS DE NATUREZA INTANGÍVEL;; ;Balanço patrimonial;NÃO;NÃO;
3956;01.2.4.01.001;     Capital Intelectual ;CAPINTEL; ;Balanço patrimonial;NÃO;NÃO;
3964;01.2.4.01.002;     Marcas e Patentes de Invenção ;MARCPAT; ;Balanço patrimonial;NÃO;NÃO;
3980;01.2.4.01.003;     Fundo de Comércio ;FUNCOM; ;Balanço patrimonial;NÃO;NÃO;
4022;01.2.4.01.004;     Concessões ;CONCEC; ;Balanço patrimonial;NÃO;NÃO;
4030;01.2.4.01.005;     Direitos Autorais ;DIRAUT; ;Balanço patrimonial;NÃO;NÃO;
4049;01.2.4.01.006;     Softwares ou Programas de Computador ;SOFTPROGR; ;Balanço patrimonial;NÃO;NÃO;
4057;01.2.4.01.007;     Franquias ;FRANQ; ;Balanço patrimonial;NÃO;NÃO;
1023;01.2.4.02;   AMORTIZAÇÃO ACUMULADA;; ;Balanço patrimonial;NÃO;NÃO;
1031;01.2.4.02.001;     (-) Capital Intelectual - Amortização ;AMORTMARCAS; ;Balanço patrimonial;NÃO;NÃO;
1040;01.2.4.02.002;     (-) Marcas Pat. de Invenção - Amortização ;AMORTIMOV3S; ;Balanço patrimonial;NÃO;NÃO;
4065;01.2.4.02.003;     (-) Fundo de Comércio - Amortização ;AMORTFUNDO; ;Balanço patrimonial;NÃO;NÃO;
4073;01.2.4.02.004;     (-) Concessões - Amortização ;AMORTCONCEC; ;Balanço patrimonial;NÃO;NÃO;
4081;01.2.4.02.005;     (-) Direitos Autorais - Amortização ;AMORTDIRAUT; ;Balanço patrimonial;NÃO;NÃO;
4090;01.2.4.02.006;     (-) Softwares - Amortização ;AMORTSOFTWARE; ;Balanço patrimonial;NÃO;NÃO;
4103;01.2.4.02.007;     (-) Franquias - Amortização ;AMORTFRANQ; ;Balanço patrimonial;NÃO;NÃO;
6173;01.2.5;  COMPENSAÇÃO DO ATIVO;; ;Balanço patrimonial;NÃO;NÃO;
6181;01.2.5.01;   COMPENSAÇÃO;; ;Balanço patrimonial;NÃO;NÃO;
6190;01.2.5.01.001;     Bens Remetidos Para Conserto ;BENSRENE; ;Balanço patrimonial;NÃO;NÃO;
6203;01.2.5.01.002;     Mercadorias Recebidas em Consignação ;MERCCONSIGN; ;Balanço patrimonial;NÃO;NÃO;
6211;01.2.5.01.003;     Bens Recebidos em Comodato ;BENSCOMOD; ;Balanço patrimonial;NÃO;NÃO;
7498;01.2.5.01.004;     Outros Creditos ;OUTROCREDITO; ;Balanço patrimonial;NÃO;NÃO;
7900;01.2.5.01.005;     Bens Remetidos Para Demonstração ;BENSREMDEMONS; ;Balanço patrimonial;NÃO;NÃO;
7935;01.2.5.01.006;     Bens Recebidos Para Demonstração ;BENSRECDEMONS; ;Balanço patrimonial;NÃO;NÃO;
7951;01.2.5.01.007;     Bens Recebidos Para Conserto ;BENSRECCONS; ;Balanço patrimonial;NÃO;NÃO;
7978;01.2.5.01.008;     Remessa de Vasilhame ;REMVASI; ;Balanço patrimonial;NÃO;NÃO;
7986;01.2.5.01.009;     Entrada de Vasilhame ;ENTVASI; ;Balanço patrimonial;NÃO;NÃO;
8010;01.2.5.01.010;     Bens Remetidos em Comodata ;BENSREMCOMO; ;Balanço patrimonial;NÃO;NÃO;
8087;01.2.5.01.011;     Remessa para Venda Fora do Estabelecimento ;REMEVENDAFORA; ;Balanço patrimonial;NÃO;NÃO;
8338;01.2.5.01.012;     Remessa de Deposito/Armazem ;REMENTRADEPOSITO; ;Balanço patrimonial;NÃO;NÃO;
8940;01.2.5.01.014;     Despesas de Terceiros - SINAIS DE GPS ;DEPSTERCSIN; ;Balanço patrimonial;NÃO;NÃO;
9423;01.2.5.01.015;     Despesas de Terceiros - Oxigenio Rondonopolis ;DESPTEROXRON; ;Balanço patrimonial;NÃO;NÃO;
1163;02;PASSIVO;; ;Balanço patrimonial;NÃO;NÃO;
1171;02.1; PASSIVO CIRCULANTE;; ;Balanço patrimonial;NÃO;NÃO;
1180;02.1.1;  FORNECEDORES NACIONAIS;; ;Balanço patrimonial;NÃO;NÃO;
1198;02.1.1.05;   FORNECEDORES DIVERSOS;; ;Balanço patrimonial;NÃO;NÃO;
1201;02.1.1.05.0001;     Fornecedores Diversos ;FD; ;Balanço patrimonial;NÃO;NÃO;
1210;02.1.2;  EMPRÉSTIMOS E FINANC. A CURTO PRAZO;; ;Balanço patrimonial;NÃO;NÃO;
1228;02.1.2.01;   EMPRÉSTIMOS E FINANCIAMENTOS BANCÁRIOS;; ;Balanço patrimonial;NÃO;NÃO;
1236;02.1.2.01.001;     Banco do Brasil S/A ;EMPRBB; ;Balanço patrimonial;NÃO;NÃO;
1244;02.1.2.01.002;     Caixa Econômica Federal ;EMPRCEF; ;Balanço patrimonial;NÃO;NÃO;
4820;02.1.2.01.003;     Banco Bradesco S/A ;EMPRBRA; ;Balanço patrimonial;NÃO;NÃO;
4839;02.1.2.01.004;     Banco Itau S/A ;EMPITAU; ;Balanço patrimonial;NÃO;NÃO;
4847;02.1.2.01.005;     BANCO VOLKSWAGEN S/A ;EMPMERC; ;Balanço patrimonial;NÃO;NÃO;
4855;02.1.2.01.006;     EMPRESTIMO LISANDRA FERACHIN ;EMPLIS; ;Balanço patrimonial;NÃO;NÃO;
4863;02.1.2.01.007;     EMPRESTIMO SICOOB SA ;EMPJOSE; ;Balanço patrimonial;NÃO;NÃO;
5584;02.1.2.01.008;     Hsbc Bank Brasil S.A. Conta Garantia ;EMPHSBCBR; ;Balanço patrimonial;NÃO;NÃO;
5983;02.1.2.01.009;     Edilson Jose Giachini ;EMPEDILSON; ;Balanço patrimonial;NÃO;NÃO;
6696;02.1.2.01.010;     Sicredi ;EMPSICREDI; ;Balanço patrimonial;NÃO;NÃO;
6726;02.1.2.01.011;     Santander ;EMPSANTANDER; ;Balanço patrimonial;NÃO;NÃO;
6963;02.1.2.01.012;     BB Giro Rapido ;EMPRGIRORAP; ;Balanço patrimonial;NÃO;NÃO;
7722;02.1.2.01.013;     BB FCO CAPITAL DE GIRO ;BBFCOCAPITAL; ;Balanço patrimonial;NÃO;NÃO;
7730;02.1.2.01.014;     BB GIRO CORPORATE ;BBGIROCORP; ;Balanço patrimonial;NÃO;NÃO;
8460;02.1.2.01.015;     Títulos a Pagar ;TITULOSAPAGAR; ;Balanço patrimonial;NÃO;NÃO;
8869;02.1.2.01.016;     BB FCO CAPITAL DE GIRO OPERAÇÃO Nº 315328866 ;BBFCOCAPITALDEGIROOP; ;Balanço patrimonial;NÃO;NÃO;
9148;02.1.2.01.017;     Sicoob - Bens Não de Uso Próprio - Contrato 7729-4 ;; ;Balanço patrimonial;NÃO;NÃO;
493;02.1.2.01.018;     Duplicatas Descontadas ;DPLDESC; ;Balanço patrimonial;NÃO;NÃO;
1252;02.1.2.02;   EMPRÉSTIMOS DE PESSOAS LIGADAS;; ;Balanço patrimonial;NÃO;NÃO;
9865;02.1.2.02.001;     Empréstimos de Pessoas Ligadas ;EMPDEPESSLIG; ;Balanço patrimonial;NÃO;NÃO;
9032;02.1.2.03;   CARTAS DE CRÉDITO A PAGAR;; ;Balanço patrimonial;NÃO;NÃO;
9040;02.1.2.03.001;     Carta de Crédito - Equip.Irrigação - Grupo 1411 Quota 8215 ;; ;Balanço patrimonial;NÃO;NÃO;
9059;02.1.2.03.002;     Carta de Crédito - HB20S Vision - Grupo 1237 Quota 6038 ;; ;Balanço patrimonial;NÃO;NÃO;
9067;02.1.2.03.003;     Carta de Crédito - Kwid Zen - Grupo 1347 Quota 6690 ;; ;Balanço patrimonial;NÃO;NÃO;
9075;02.1.2.03.004;     Carta de Crédito - Kwid Zen - Grupo 1470 Quota 8895 ;; ;Balanço patrimonial;NÃO;NÃO;
9083;02.1.2.03.005;     Carta de Crédito - Onix LT - Grupo 1232 Quota 6997 ;; ;Balanço patrimonial;NÃO;NÃO;
9091;02.1.2.03.006;     Carta de Crédito - Onix LT - Grupo 1400 Quota 7768 ;; ;Balanço patrimonial;NÃO;NÃO;
9105;02.1.2.03.007;     Carta de Crédito - Voyage Flex - Grupo 1444 Quota 2 ;; ;Balanço patrimonial;NÃO;NÃO;
9229;02.1.2.03.008;     Carta de Crédito - Polo1.0 Flex 12V 5P - Grupo 1247 Quota 825 ;; ;Balanço patrimonial;NÃO;NÃO;
9237;02.1.2.03.009;     Carta de Crédito - Onix LT - Grupo 1360 Quota 8853 ;; ;Balanço patrimonial;NÃO;NÃO;
9245;02.1.2.03.010;     Carta de Crédito - Onix LT - Grupo 1400 Quota 6691 ;; ;Balanço patrimonial;NÃO;NÃO;
9253;02.1.2.03.011;     Carta de Crédito - Onix Hatch - Grupo 1240 Quota 7760 ;; ;Balanço patrimonial;NÃO;NÃO;
9261;02.1.2.03.012;     Carta de Crédito - Onix Hatch - Grupo 1240 Quota 2747 ;; ;Balanço patrimonial;NÃO;NÃO;
1260;02.1.3;  OBRIGAÇÕES TRABALHISTAS;; ;Balanço patrimonial;NÃO;NÃO;
1279;02.1.3.01;   FOLHA DE PAGAMENTO DE EMPREGADOS;; ;Balanço patrimonial;NÃO;NÃO;
1287;02.1.3.01.001;     Salários a Pagar ;SALPGR; ;Balanço patrimonial;NÃO;NÃO;
1295;02.1.3.01.002;     Férias a Pagar ;FERIASPGR; ;Balanço patrimonial;NÃO;NÃO;
1309;02.1.3.01.003;     Rescisões a Pagar ;RESCPGR; ;Balanço patrimonial;NÃO;NÃO;
1317;02.1.3.01.004;     13º. Salário a Pagar ;13SALPGR; ;Balanço patrimonial;NÃO;NÃO;
1325;02.1.3.01.005;     Participação Lucros e Resultados a Pagar ;PLRPGR; ;Balanço patrimonial;NÃO;NÃO;
4804;02.1.3.01.006;     Pensão Alimenticia a Pagar ;PENSALIMPGR; ;Balanço patrimonial;NÃO;NÃO;
5150;02.1.3.01.007;     13° Salário a Pagar - Filial 1 ;13°FILIAL 1; ;Balanço patrimonial;NÃO;NÃO;
5169;02.1.3.01.008;     13° Salário a Pagar - Filial 3 ;13°FILIAL 3; ;Balanço patrimonial;NÃO;NÃO;
5215;02.1.3.01.009;     Férias a Pagar - Filial 1 ;FERIASPGRFILIAL 1; ;Balanço patrimonial;NÃO;NÃO;
5223;02.1.3.01.010;     Férias a Pagar - Filial 3 ;FERIASPGRFILIAL 3; ;Balanço patrimonial;NÃO;NÃO;
5258;02.1.3.01.011;     Rescisão a Pagar - filial 1 ;RESCISÃOPGRFILIAL 1; ;Balanço patrimonial;NÃO;NÃO;
5266;02.1.3.01.012;     Rescisão a Pagar - Filial 3 ;RESCISÃOPGRFILIAL 3; ;Balanço patrimonial;NÃO;NÃO;
5274;02.1.3.01.013;     Salários a Pagar - Filial 1 ;SALARIOSPGRFILIAL 1; ;Balanço patrimonial;NÃO;NÃO;
5282;02.1.3.01.014;     Salários a Pagar - Filial 3 ;SALARIOSPGRFILIAL 3; ;Balanço patrimonial;NÃO;NÃO;
1333;02.1.3.02;   FOLHA DE PAGAMENTO DE AUTÔNOMOS;; ;Balanço patrimonial;NÃO;NÃO;
1341;02.1.3.02.001;     Rendimentos Autonômos a Pagar ;RENDPGR; ;Balanço patrimonial;NÃO;NÃO;
1350;02.1.3.03;   FOLHA DE PAGAMENTO DE DIRIGENTES;; ;Balanço patrimonial;NÃO;NÃO;
1368;02.1.3.03.001;     Pró-Labore a Pagar ;PROLPGR; ;Balanço patrimonial;NÃO;NÃO;
7188;02.1.3.03.002;     Pró-Labore a Pagar - Filial 1 ;PROLPGRF; ;Balanço patrimonial;NÃO;NÃO;
1376;02.1.3.04;   ENCARGOS SOCIAIS A PAGAR;; ;Balanço patrimonial;NÃO;NÃO;
1384;02.1.3.04.001;     I.N.S.S. a Pagar ;INSSPGR; ;Balanço patrimonial;NÃO;NÃO;
1392;02.1.3.04.002;     F.G.T.S. a Pagar ;FGTSPGR; ;Balanço patrimonial;NÃO;NÃO;
1406;02.1.3.04.003;     Contribuição Sindical a pagar ;CSPGR; ;Balanço patrimonial;NÃO;NÃO;
1414;02.1.3.04.004;     GRRF a Pagar ;GRRFPGR; ;Balanço patrimonial;NÃO;NÃO;
1422;02.1.3.04.005;     FGTS 13º a Pagar ;FGTS13PGR; ;Balanço patrimonial;NÃO;NÃO;
1430;02.1.3.04.006;     INSS 13º a Pagar ;INSS13PGR; ;Balanço patrimonial;NÃO;NÃO;
1449;02.1.3.04.007;     F.G.T.S Férias a Pagar ;FGTSFERPGR; ;Balanço patrimonial;NÃO;NÃO;
1457;02.1.3.04.008;     I.N.S.S Férias a Pagar ;INSSFERPGR; ;Balanço patrimonial;NÃO;NÃO;
4707;02.1.3.04.009;     Cont. Confederativa a Pagar ;CCONFPGR; ;Balanço patrimonial;NÃO;NÃO;
4812;02.1.3.04.010;     Cont. Assistencial ;CASSITPGR; ;Balanço patrimonial;NÃO;NÃO;
5061;02.1.3.04.011;     INSS Individual a Pagar ;INSSINDPGR; ;Balanço patrimonial;NÃO;NÃO;
5177;02.1.3.04.012;     Contrib. Sind. a Pagar - Filial 1 ;CSPGRFILIAL 1; ;Balanço patrimonial;NÃO;NÃO;
5185;02.1.3.04.013;     Contrib. Sind. a Pagar - Filial 3 ;CSPGRFILIAL 3; ;Balanço patrimonial;NÃO;NÃO;
5193;02.1.3.04.014;     F.G.T.S a Pagar - Filial 1 ;FGTSPGRFILIAL 1; ;Balanço patrimonial;NÃO;NÃO;
5207;02.1.3.04.015;     F.G.T.S a Pagar - Filial 3 ;FGTSPGRFILIAL 3; ;Balanço patrimonial;NÃO;NÃO;
5231;02.1.3.04.016;     I.N.S.S a Pagar - Filial 1 ;INSSFILIAL 1; ;Balanço patrimonial;NÃO;NÃO;
5240;02.1.3.04.017;     I.N.S.S a Pagar - Filial 3 ;INSSFILIAL 3; ;Balanço patrimonial;NÃO;NÃO;
5452;02.1.3.04.018;     Vale Transporte a pagar ;VTPGR; ;Balanço patrimonial;NÃO;NÃO;
5479;02.1.3.04.019;     Contrib Sind. a Pagar - Filial 2 ;CONTSINFIL 2; ;Balanço patrimonial;NÃO;NÃO;
5487;02.1.3.04.020;     Cont. Confeder. a pagar - Filial 1 ;CONTCONF FILIAL 1; ;Balanço patrimonial;NÃO;NÃO;
5495;02.1.3.04.021;     F.G.T.S a Pagar - Filial - 2 ;FGTS FILIAL 2; ;Balanço patrimonial;NÃO;NÃO;
5509;02.1.3.04.022;     I.N.S.S a Pagar  - Filial 2 ;INSSFILIAL2; ;Balanço patrimonial;NÃO;NÃO;
6700;02.1.3.04.023;     GRRF a Pagar - Filial 1 ;GRRFFL; ;Balanço patrimonial;NÃO;NÃO;
7560;02.1.3.04.024;     Recebimento de Tributos de terceiro ;RECBTOTERC; ;Balanço patrimonial;NÃO;NÃO;
7617;02.1.3.04.025;     Recebimento P/ Francisco Cardoso ;RECBTOCAR; ;Balanço patrimonial;NÃO;NÃO;
7773;02.1.3.04.026;     Parcelamento FTGS ;PARCFGTS; ;Balanço patrimonial;NÃO;NÃO;
7781;02.1.3.04.027;     PARCELAMENTO ;PARC; ;Balanço patrimonial;NÃO;NÃO;
8842;02.1.3.04.028;     DCTFWEB a Pagar ;DCTFWEBPGR; ;Balanço patrimonial;NÃO;NÃO;
215;02.1.3.05;   PROVISÕES TRABALHISTAS;; ;Balanço patrimonial;NÃO;NÃO;
2351;02.1.3.05.001;     PROVISÃO DE FÉRIAS A PAGAR ;PROVFER; ;Balanço patrimonial;NÃO;NÃO;
2352;02.1.3.05.002;     PROVISÃO DE FGTS SOBRE FÉRIAS ;PROVFGTSFER; ;Balanço patrimonial;NÃO;NÃO;
2353;02.1.3.05.003;     PROVISÃO DE INSS SOBRE FÉRIAS ;PROVINSSFER; ;Balanço patrimonial;NÃO;NÃO;
2354;02.1.3.05.004;     PROVISÃO 13° SALÁRIO A PAGAR ;PROV13; ;Balanço patrimonial;NÃO;NÃO;
2355;02.1.3.05.005;     PROVISÃO DE FGTS SOBRE 13° SALÁRIO A PAGAR ;PROVFGTS13; ;Balanço patrimonial;NÃO;NÃO;
2366;02.1.3.05.006;     PROVISÃO DE INSS SOBRE 13° SALÁRIO A PAGAR ;PROVINSS13; ;Balanço patrimonial;NÃO;NÃO;
2357;02.1.3.05.007;     PROVISÃO DE PIS SOBRE FÉRIAS A PAGAR ;PROVPISFER; ;Balanço patrimonial;NÃO;NÃO;
2358;02.1.3.05.008;     PROVISÃO DE PIS SOBRE 13° SALÁRIO A PAGAR ;PROVPIS13; ;Balanço patrimonial;NÃO;NÃO;
1465;02.1.4;  OBRIGAÇÕES TRIBUTÁRIAS;; ;Balanço patrimonial;NÃO;NÃO;
1473;02.1.4.01;   IMPOSTOS RETIDOS A RECOLHER;; ;Balanço patrimonial;NÃO;NÃO;
1481;02.1.4.01.001;     IRRF a Recolher - Pessoa Física ;IRFPFPGR; ;Balanço patrimonial;NÃO;NÃO;
1490;02.1.4.01.002;     IRRF a Recolher ;IRFPJPGR; ;Balanço patrimonial;NÃO;NÃO;
1503;02.1.4.01.003;     ISS Retido a Recolher ;ISSPGR; ;Balanço patrimonial;NÃO;NÃO;
1511;02.1.4.01.004;     IRRF a Recolher - Contribuintes ;IRRFPROPGR; ;Balanço patrimonial;NÃO;NÃO;
1520;02.1.4.01.005;     IRRF a Recolher - PLR ;IRRFPLR; ;Balanço patrimonial;NÃO;NÃO;
4626;02.1.4.01.006;     Pis Retido a Recolher ;PISRET; ;Balanço patrimonial;NÃO;NÃO;
4634;02.1.4.01.007;     Cofins Retido a Recolher ;COFINSRET; ;Balanço patrimonial;NÃO;NÃO;
4642;02.1.4.01.008;     CSLL Retida a Recolher ;PCCSLLRET; ;Balanço patrimonial;NÃO;NÃO;
5290;02.1.4.01.009;     IRRF a Recolher - Filial 1 ;IRRFRECFILIAL 11; ;Balanço patrimonial;NÃO;NÃO;
6947;02.1.4.01.010;     IRRF S/ Alugueis A Recolher ;IRRFALUGUEIS; ;Balanço patrimonial;NÃO;NÃO;
8656;02.1.4.01.011;     IRRF Retido ;IRRFRETIDO; ;Balanço patrimonial;NÃO;NÃO;
1538;02.1.4.02;   IMPOSTOS E CONTRIBUIÇÕES S/LUCRO;; ;Balanço patrimonial;NÃO;NÃO;
1546;02.1.4.02.001;     IRPJ a Recolher ;IRPJPGR; ;Balanço patrimonial;NÃO;NÃO;
1554;02.1.4.02.002;     CSLL a Recolher ;CSLLPGR; ;Balanço patrimonial;NÃO;NÃO;
1589;02.1.4.03;   IMPOSTOS E CONTRIBUIÇÕES S/RECEITAS;; ;Balanço patrimonial;NÃO;NÃO;
1597;02.1.4.03.001;     ICMS a Pagar ;ICMSPGR; ;Balanço patrimonial;NÃO;NÃO;
1600;02.1.4.03.002;     COFINS a Pagar ;COFINSPGR; ;Balanço patrimonial;NÃO;NÃO;
1619;02.1.4.03.003;     PIS a Pagar ;PISPGR; ;Balanço patrimonial;NÃO;NÃO;
1627;02.1.4.03.004;     IPI a Pagar ;IPIPGR; ;Balanço patrimonial;NÃO;NÃO;
5304;02.1.4.03.005;     Parcelamento lei 11.941/2009 - Inss ;PARC.INSS; ;Balanço patrimonial;NÃO;NÃO;
5312;02.1.4.03.006;     Parcelamento Lei 11.941/2009 ;PARC.LEI11941/2009; ;Balanço patrimonial;NÃO;NÃO;
1651;02.1.4.03.007;     ISS a Pagar ;ISQNPGR; ;Balanço patrimonial;NÃO;NÃO;
1660;02.1.4.03.008;     Simples Nacional a Pagar ;SNPGR; ;Balanço patrimonial;NÃO;NÃO;
4715;02.1.4.03.009;     ICMS Garantido a Recolher ;IMCSGARANTPGR; ;Balanço patrimonial;NÃO;NÃO;
5070;02.1.4.03.010;     Parcelamento Demais Debitos ;PARCDEMDEBITOS; ;Balanço patrimonial;NÃO;NÃO;
5320;02.1.4.03.011;     Parcelamento Simples Nacional ;PARCEL.SN; ;Balanço patrimonial;NÃO;NÃO;
5339;02.1.4.03.012;     Parcelamento ISS ;PARC.ISS; ;Balanço patrimonial;NÃO;NÃO;
5517;02.1.4.03.013;     Icms a Pagar - Filial 1 ;ICMSPGRFILIAL1; ;Balanço patrimonial;NÃO;NÃO;
5525;02.1.4.03.014;     Icms a Pagar - Filial 2 ;ICMSPGRFILIAL2; ;Balanço patrimonial;NÃO;NÃO;
5533;02.1.4.03.015;     Icms a Pagar - Filial 3 ;ICMSPGRFILIAL3; ;Balanço patrimonial;NÃO;NÃO;
5541;02.1.4.03.016;     Iss a Pagar - Filial 1 ;ISSFILIAL1; ;Balanço patrimonial;NÃO;NÃO;
5550;02.1.4.03.017;     Iss a Pagar - Filial 2 ;ISSFILIAL2; ;Balanço patrimonial;NÃO;NÃO;
5568;02.1.4.03.018;     Iss a Pagr - Filial 3 ;ISSFILIAL3; ;Balanço patrimonial;NÃO;NÃO;
5614;02.1.4.03.019;     Parcelamento ICMS ;PARCICMS; ;Balanço patrimonial;NÃO;NÃO;
6750;02.1.4.03.020;     Parcelamento Lei 12.996/2014 - INSS ;PARCINSS; ;Balanço patrimonial;NÃO;NÃO;
6866;02.1.4.03.021;     Parcelamento COFINS ;PARCCOFINS; ;Balanço patrimonial;NÃO;NÃO;
6874;02.1.4.03.022;     Parcelamento PIS ;PARCPIS; ;Balanço patrimonial;NÃO;NÃO;
6882;02.1.4.03.023;     Parcelamento Lei 12.996/2014 ;PARCLEI12996/2014; ;Balanço patrimonial;NÃO;NÃO;
7072;02.1.4.03.024;     Parcelamento INSS ;PARCELINSS; ;Balanço patrimonial;NÃO;NÃO;
7170;02.1.4.03.025;     Parcelamento Multas de Transito ;PARCMTRANS; ;Balanço patrimonial;NÃO;NÃO;
7340;02.1.4.03.026;     Parcelamento IRPJ ;PARCIRPJ; ;Balanço patrimonial;NÃO;NÃO;
7358;02.1.4.03.027;     Parcelamento CSLL ;PARCCSLL; ;Balanço patrimonial;NÃO;NÃO;
7390;02.1.4.03.028;     Parcelamento INSS Simplificado ;PARCINSSSIMPL; ;Balanço patrimonial;NÃO;NÃO;
7447;02.1.4.03.029;     Parcelamento INSS - PERT ;PARCINSSPERT; ;Balanço patrimonial;NÃO;NÃO;
7455;02.1.4.03.030;     Parcelamento Demais Debitos - PERT ;PARCDEMDEBITOSPERT; ;Balanço patrimonial;NÃO;NÃO;
7889;02.1.4.03.031;     Parcelamento SN Divida Ativa - PGFN ;PARCSNDIVATIPGFN; ;Balanço patrimonial;NÃO;NÃO;
8257;02.1.4.03.032;     Parcelamento Simplificado ;PARCSIMPLIFICADO; ;Balanço patrimonial;NÃO;NÃO;
1678;02.1.5;  CONTAS A PAGAR;; ;Balanço patrimonial;NÃO;NÃO;
1686;02.1.5.01;   CONTAS DE EMPRESAS PÚBLICAS;; ;Balanço patrimonial;NÃO;NÃO;
1694;02.1.5.01.001;     Celesc S/A ;CELESC; ;Balanço patrimonial;NÃO;NÃO;
1708;02.1.5.01.002;     Brasil Telecom S/A ;TELESC; ;Balanço patrimonial;NÃO;NÃO;
1716;02.1.5.01.003;     Samae S/A ;SAMAE; ;Balanço patrimonial;NÃO;NÃO;
1724;02.1.5.01.004;     Embratel S/A ;EMBRATEL; ;Balanço patrimonial;NÃO;NÃO;
7218;02.1.5.01.005;     Condominio Jardins ;CONDOMINIO; ;Balanço patrimonial;NÃO;NÃO;
1732;02.1.5.02;   DEMAIS CONTAS A PAGAR;; ;Balanço patrimonial;NÃO;NÃO;
1740;02.1.5.02.001;     Seguros a Pagar ;SEGPGR; ;Balanço patrimonial;NÃO;NÃO;
1759;02.1.5.02.002;     Assinatura de Periódicos a Pagar ;ASSJORNAISPGR; ;Balanço patrimonial;NÃO;NÃO;
1767;02.1.5.02.003;     Aluguel a Pagar ;ALUPGR; ;Balanço patrimonial;NÃO;NÃO;
6556;02.1.5.02.004;     Consórcio a pagar ;CONSORCPGR; ;Balanço patrimonial;NÃO;NÃO;
6890;02.1.5.02.005;     Duplicatas a pagar ;DUPLPGR; ;Balanço patrimonial;NÃO;NÃO;
7293;02.1.5.02.006;     Plano de Saude/Farmacia a pagar ;PSFPGR; ;Balanço patrimonial;NÃO;NÃO;
9903;02.1.5.02.007;     Honorários Contábeis a Pagar ;; ;Balanço patrimonial;NÃO;NÃO;
5991;02.1.6;  OUTRAS OBRIGAÇÕES;; ;Balanço patrimonial;NÃO;NÃO;
6017;02.1.6.01;   ADIANTAMENTOS;; ;Balanço patrimonial;NÃO;NÃO;
6025;02.1.6.01.001;     Adiantamento de Clientes ;ADIANTCLIENTES; ;Balanço patrimonial;NÃO;NÃO;
280;02.1.6.01.002;     Adiantamentos Para Futuro Aumento Capital ;ADDFAC; ;Balanço patrimonial;NÃO;NÃO;
7463;02.1.6.02;   ADIANTAMENTOS CLIENTES;; ;Balanço patrimonial;NÃO;NÃO;
7471;02.1.6.02.001;     Adiantamento Cliente ;ADIANTCLIENT; ;Balanço patrimonial;NÃO;NÃO;
7510;02.1.6.03;   CONTAS CORRENTE DOS SOCIOS;; ;Balanço patrimonial;NÃO;NÃO;
7528;02.1.6.03.001;     Contas Corrente dos Socios ;CONTA CORRENTE; ;Balanço patrimonial;NÃO;NÃO;
9822;02.1.6.03.002;     Sócios a Reembolsar ;SÓCIOSAREEMBOLSAR; ;Balanço patrimonial;NÃO;NÃO;
7862;02.1.6.04;   CONTAS DE COMPENSAÇÃO;; ;Balanço patrimonial;NÃO;NÃO;
7870;02.1.6.04.001;     Honorários Constituidos ;HONOCONST; ;Balanço patrimonial;NÃO;NÃO;
1775;02.2; PASSIVO NÃO CIRCULANTE;; ;Balanço patrimonial;NÃO;NÃO;
1783;02.2.1;  EMPRÉSTIMOS E FINANC. A LONGO PRAZO;; ;Balanço patrimonial;NÃO;NÃO;
1791;02.2.1.01;   EMPRÉSTIMOS E FINANCIAMENTOS BANCÁRIOS;; ;Balanço patrimonial;NÃO;NÃO;
1805;02.2.1.01.001;     Banco do Brasil S.A ;EMPRBBPGR; ;Balanço patrimonial;NÃO;NÃO;
1813;02.2.1.01.002;     Caixa Econômica Federal SA ;EMPRCEFPGR; ;Balanço patrimonial;NÃO;NÃO;
4871;02.2.1.01.003;     Banco do Brasil S/A - FCO ;EMPRBBFCO; ;Balanço patrimonial;NÃO;NÃO;
4880;02.2.1.01.004;     Banco Bradesco ;EMPRBRADPGR; ;Balanço patrimonial;NÃO;NÃO;
4898;02.2.1.01.005;     Hsbc Bank Brasil S.A. ;EMPRHSBCPGR; ;Balanço patrimonial;NÃO;NÃO;
4944;02.2.1.01.006;     Banco Itau S.A ;EMPRITAU; ;Balanço patrimonial;NÃO;NÃO;
5088;02.2.1.01.007;     Banco Safra S.A ;BANCO SAFRA; ;Balanço patrimonial;NÃO;NÃO;
5096;02.2.1.01.008;     Banco Volvo ;BANCO VOLVO; ;Balanço patrimonial;NÃO;NÃO;
